,start_station,start_date,Latitude,Longitude,Neighborhood
358,m+st+&+new+jersey+ave+se,9/20/2010 11:27,38.87649,-77.00418,Capitol Riverfront
359,m+st+&+pennsylvania+ave+nw,12/21/2011 12:01,38.90524,-77.05811,Georgetown
362,maine+ave+&+7th+st+sw,4/1/2017 2:01,38.8786,-77.02278,Southwest Waterfront
365,maryland+&+independence+ave+sw,1/27/2012 13:18,38.8875699,-77.02136,Southwest Federal Center
366,maryland+ave+&+e+st+ne,11/10/2015 11:26,38.89614,-76.99322,Northeast Washington
367,massachusetts+ave+&+dupont+circle+nw,9/20/2010 13:34,38.90939,-77.04272,Dupont Circle
368,mckinley+st+&+connecticut+ave+nw,10/15/2014 11:24,38.9649,-77.07557,Chevy Chase
369,mcpherson+square+-+14th+&+h+st+nw,9/30/2010 15:42,38.88981,-76.9855,Northeast Washington
370,mcpherson+square+/+14th+&+h+st+nw,1/1/2013 11:44,38.88981,-76.9855,Northeast Washington
373,metro+center+/+12th+&+g+st+nw,5/13/2011 9:04,38.88866,-77.02795,Southwest Washington
374,minnesota+ave+metro/does,9/20/2010 12:14,38.88067,-76.95961,Greenway
375,mississippi+ave+&+19th+st+se+/+thearc,9/22/2017 6:11,38.84382,-76.97623,Southeast Washington
376,mlk+library/9th+&+g+st+nw,7/31/2014 11:54,38.89833,-77.01729,Northwest Washington
381,montgomery+college/w+campus+dr+&+mannakee+st,10/19/2013 17:43,38.91865,-77.08998,Foxhall Crescent
393,n+quincy+st+&+glebe+rd,4/28/2012 11:56,38.9375799,-77.02512,Petworth
395,n+randolph+st+&+fairfax+dr,4/27/2012 17:25,38.93868,-77.02508,Petworth
396,n+rhodes+&+16th+st+n,4/17/2011 9:14,38.9921,-77.03644,Northwest Washington
399,nannie+helen+burroughs+&+minnesota+ave+ne,10/5/2010 17:58,38.90191,-76.94261,Deanwood
400,nannie+helen+burroughs+ave+&+49th+st+ne,11/9/2013 18:03,38.89854,-76.93165,Deanwood
401,neal+st+&+trinidad+ave+ne,6/14/2013 11:32,38.90338,-76.98614,Trinidad
402,nebraska+ave/au+east+campus,6/22/2017 7:40,38.9558,-77.07061,Wakefield
406,new+hampshire+ave+&+24th+st+nw,8/6/2014 13:59,38.90114,-77.05141,Foggy Bottom
407,new+hampshire+ave+&+t+st+nw,5/1/2013 0:01,38.91557,-77.03788,Dupont Circle
